INFO: setting server port as: 2222
INFO: Waiting for incoming connection...
[#WORKER#] 46672.354881 Worker Thread Alive!
R0:46672.354859,0.050151,46672.355022,46672.406202
R1:46672.660689,0.160167,46672.660741,46672.820911
R2:46672.915470,0.022009,46672.915520,46672.937530
[#WORKER#] 46673.357422 Still Alive!
R3:46673.319914,0.146201,46673.319946,46673.466147
R4:46673.387987,0.080737,46673.466173,46673.546910
R5:46673.442234,0.099121,46673.546961,46673.646082
R6:46673.550401,0.072031,46673.646167,46673.718198
R7:46673.626066,0.247926,46673.718222,46673.966150
R8:46674.132998,0.126336,46674.133057,46674.259395
R9:46674.301344,0.093387,46674.301375,46674.394762
R10:46674.326994,0.027824,46674.394796,46674.422621
R11:46674.329761,0.163054,46674.422713,46674.585768
R12:46674.354372,0.051240,46674.585869,46674.637112
R13:46674.382783,0.011520,46674.637156,46674.648676
R14:46674.405964,0.024623,46674.648730,46674.673353
[#WORKER#] 46675.358031 Still Alive!
R15:46675.545228,0.182705,46675.545276,46675.727983
R16:46675.665165,0.035102,46675.728033,46675.763137
R17:46675.823258,0.074294,46675.823305,46675.897601
R18:46675.992447,0.360362,46675.992491,46676.352854
R19:46676.105893,0.147560,46676.352942,46676.500503
R20:46676.163616,0.146930,46676.500572,46676.647503
R21:46676.288345,0.222128,46676.647579,46676.869707
R22:46676.373579,0.043457,46676.869801,46676.913259
R23:46676.429143,0.251363,46676.913302,46677.164667
[#WORKER#] 46677.358650 Still Alive!
R24:46676.703989,0.298236,46677.164739,46677.462977
R25:46676.716144,0.008999,46677.463064,46677.472063
R26:46676.840619,0.108835,46677.472098,46677.580933
R27:46676.876235,0.042908,46677.581047,46677.623956
R28:46677.244485,0.002023,46677.624008,46677.626032
R29:46677.255554,0.006517,46677.626052,46677.632570
R30:46677.357557,0.352792,46677.632589,46677.985382
R31:46677.402937,0.190327,46677.985460,46678.175791
R32:46677.790436,0.077601,46678.175860,46678.253461
R33:46677.842167,0.142815,46678.253496,46678.396312
R34:46677.920621,0.110179,46678.396336,46678.506516
R35:46678.040431,0.004007,46678.506541,46678.510549
R36:46678.166893,0.268582,46678.510568,46678.779151
R37:46678.262874,0.127637,46678.779173,46678.906811
R38:46678.708053,0.134145,46678.906830,46679.040976
R39:46678.763811,0.043703,46679.041015,46679.084719
R40:46678.934086,0.018149,46679.084739,46679.102888
R41:46679.128145,0.212089,46679.128170,46679.340260
[#WORKER#] 46679.360953 Still Alive!
R42:46679.224828,0.040098,46679.340281,46679.380380
R43:46679.519385,0.223841,46679.519421,46679.743263
R44:46679.562747,0.116050,46679.743289,46679.859340
R45:46679.634647,0.088829,46679.859361,46679.948190
R46:46680.157038,0.195670,46680.157080,46680.352751
R47:46680.335553,0.257662,46680.352785,46680.610447
R48:46680.432067,0.168614,46680.610474,46680.779089
R49:46680.516777,0.241880,46680.779112,46681.020993
R50:46680.708912,0.024312,46681.021076,46681.045389
R51:46680.818710,0.252733,46681.045454,46681.298190
[#WORKER#] 46681.363806 Still Alive!
R52:46681.318867,0.212915,46681.318906,46681.531823
R53:46681.345531,0.056555,46681.531865,46681.588421
R54:46681.516321,0.032998,46681.588455,46681.621454
R55:46681.677428,0.036739,46681.677462,46681.714203
R56:46681.934437,0.025632,46681.934494,46681.960129
R57:46682.033254,0.032329,46682.033326,46682.065658
R58:46682.067916,0.053871,46682.067988,46682.121862
R59:46682.203450,0.237305,46682.203520,46682.440828
R60:46682.234488,0.013476,46682.440909,46682.454390
R61:46682.252685,0.142910,46682.454467,46682.597377
R62:46682.366760,0.273343,46682.597469,46682.870814
R63:46683.064054,0.048319,46683.064157,46683.112479
R64:46683.256399,0.045992,46683.256469,46683.302463
[#WORKER#] 46683.365468 Still Alive!
R65:46683.487362,0.026431,46683.487417,46683.513850
R66:46683.545482,0.028026,46683.545513,46683.573540
R67:46683.691879,0.131732,46683.691909,46683.823643
R68:46683.719456,0.157731,46683.823720,46683.981452
R69:46683.741820,0.136677,46683.981539,46684.118218
R70:46683.771745,0.299782,46684.118302,46684.418084
R71:46683.784709,0.073723,46684.418198,46684.491922
R72:46683.793747,0.027452,46684.491949,46684.519402
R73:46683.826086,0.131921,46684.520171,46684.652093
R74:46684.092537,0.342360,46684.652166,46684.994527
R75:46684.270708,0.142601,46684.994627,46685.137229
R76:46684.440759,0.014491,46685.137326,46685.151819
R77:46684.457127,0.008146,46685.151843,46685.159990
R78:46684.579537,0.022898,46685.160016,46685.182915
R79:46684.591634,0.171301,46685.182933,46685.354235
[#WORKER#] 46685.365577 Still Alive!
R80:46684.694797,0.140887,46685.354299,46685.495187
R81:46684.836815,0.017175,46685.495250,46685.512425
R82:46684.845771,0.022857,46685.512448,46685.535305
R83:46686.838283,0.013407,46686.838390,46686.851799
R84:46687.206207,0.005557,46687.206254,46687.211813
[#WORKER#] 46687.370686 Still Alive!
R85:46688.226097,0.007508,46688.226192,46688.233705
R86:46688.566926,0.256485,46688.566987,46688.823476
R87:46688.567667,0.019891,46688.823586,46688.843477
R88:46688.717896,0.049707,46688.843506,46688.893213
R89:46688.747643,0.171311,46688.893237,46689.064548
R90:46689.154689,0.080405,46689.154717,46689.235125
R91:46689.228873,0.060253,46689.235181,46689.295435
[#WORKER#] 46689.375817 Still Alive!
R92:46689.373280,0.010496,46689.373339,46689.383838
R93:46689.567145,0.141590,46689.567206,46689.708799
R94:46689.693338,0.485729,46689.708874,46690.194607
R95:46689.753868,0.210057,46690.194701,46690.404760
R96:46689.897309,0.099131,46690.404841,46690.503973
R97:46690.126974,0.137754,46690.504023,46690.641779
R98:46690.133058,0.259530,46690.641801,46690.901335
R99:46690.432165,0.177808,46690.901398,46691.079207
R100:46690.776512,0.136184,46691.079254,46691.215439
[#WORKER#] 46691.376380 Still Alive!
R101:46691.423911,0.411021,46691.423951,46691.834974
R102:46691.813440,0.068768,46691.835058,46691.903827
R103:46691.996699,0.177203,46691.996737,46692.173941
R104:46692.026593,0.008012,46692.174051,46692.182063
R105:46692.392939,0.028508,46692.392991,46692.421501
R106:46692.567832,0.026024,46692.567902,46692.593929
R107:46692.733367,0.038107,46692.733435,46692.771546
R108:46692.934438,0.026322,46692.934497,46692.960822
R109:46693.000936,0.100259,46693.000995,46693.101257
R110:46693.013824,0.105306,46693.101359,46693.206666
[#WORKER#] 46693.377008 Still Alive!
R111:46693.056032,0.355665,46693.206731,46693.562397
R112:46693.175190,0.078989,46693.562496,46693.641488
R113:46693.229986,0.012023,46693.641582,46693.653605
R114:46693.441761,0.089781,46693.653649,46693.743431
R115:46693.548114,0.059951,46693.743486,46693.803437
R116:46694.029495,0.188180,46694.029561,46694.217747
R117:46694.097903,0.000324,46694.217818,46694.218142
R118:46694.192968,0.091250,46694.218183,46694.309434
R119:46694.263515,0.026643,46694.309491,46694.336135
R120:46694.562097,0.065962,46694.562167,46694.628131
R121:46694.749762,0.036378,46694.749842,46694.786223
R122:46694.859456,0.020157,46694.859524,46694.879683
R123:46695.067035,0.004172,46695.067090,46695.071265
R124:46695.229153,0.119067,46695.229231,46695.348304
[#WORKER#] 46695.377205 Still Alive!
R125:46695.318284,0.101512,46695.348392,46695.449905
R126:46695.505099,0.020410,46695.505127,46695.525539
R127:46695.576192,0.098660,46695.576239,46695.674901
R128:46695.732792,0.039805,46695.732828,46695.772635
R129:46695.951537,0.022591,46695.951621,46695.974218
R130:46696.176403,0.115441,46696.176446,46696.291889
R131:46696.599328,0.029742,46696.599392,46696.629136
R132:46696.775874,0.009172,46696.775926,46696.785100
R133:46696.902651,0.209870,46696.902734,46697.112607
R134:46696.953016,0.009843,46697.112736,46697.122579
R135:46697.146173,0.044879,46697.146216,46697.191096
R136:46697.165877,0.089946,46697.191132,46697.281078
R137:46697.309170,0.034077,46697.309199,46697.343277
[#WORKER#] 46697.377505 Still Alive!
R138:46697.492240,0.034021,46697.492264,46697.526287
R139:46697.741453,0.021041,46697.741515,46697.762559
R140:46697.808168,0.000358,46697.808200,46697.808560
R141:46698.501241,0.040269,46698.501320,46698.541591
R142:46698.794112,0.057358,46698.794173,46698.851533
R143:46698.828924,0.251245,46698.851598,46699.102844
[#WORKER#] 46699.377632 Still Alive!
R144:46699.359863,0.120090,46699.359936,46699.480032
R145:46699.601234,0.115768,46699.601317,46699.717091
R146:46699.624229,0.148843,46699.717151,46699.865995
R147:46699.704963,0.248019,46699.866085,46700.114108
R148:46700.182607,0.022759,46700.182649,46700.205409
R149:46700.512637,0.079417,46700.512687,46700.592105
R150:46700.775733,0.235317,46700.775796,46701.011115
R151:46700.834592,0.207131,46701.011198,46701.218330
R152:46701.235291,0.085849,46701.235330,46701.321180
[#WORKER#] 46701.378778 Still Alive!
R153:46701.350228,0.032008,46701.350257,46701.382266
R154:46701.379855,0.067806,46701.382289,46701.450096
R155:46701.713107,0.189009,46701.713171,46701.902186
R156:46701.816998,0.034397,46701.902269,46701.936667
R157:46701.931235,0.115258,46701.936692,46702.051951
R158:46701.964415,0.014973,46702.051973,46702.066946
R159:46702.181169,0.067810,46702.181218,46702.249032
R160:46702.335233,0.128827,46702.335268,46702.464096
R161:46702.638769,0.025098,46702.638825,46702.663925
R162:46702.671523,0.012926,46702.671549,46702.684476
R163:46702.786573,0.044698,46702.786599,46702.831297
R164:46702.811383,0.268671,46702.831323,46703.099994
R165:46702.876848,0.097311,46703.100040,46703.197353
[#WORKER#] 46703.380123 Still Alive!
R166:46703.275412,0.170445,46703.275454,46703.445901
R167:46703.577623,0.040793,46703.577683,46703.618478
R168:46703.691901,0.107538,46703.691945,46703.799484
R169:46703.775510,0.029963,46703.799543,46703.829507
R170:46703.931987,0.007531,46703.932016,46703.939548
R171:46703.959340,0.104187,46703.959365,46704.063556
R172:46703.978403,0.034006,46704.063652,46704.097658
R173:46704.053757,0.009557,46704.097710,46704.107270
R174:46704.120906,0.272562,46704.120952,46704.393519
R175:46704.213860,0.030851,46704.393587,46704.424439
R176:46704.359904,0.143455,46704.424530,46704.568197
R177:46704.539137,0.017111,46704.568461,46704.585573
R178:46704.650563,0.098261,46704.650617,46704.748879
R179:46705.008271,0.023300,46705.008346,46705.031648
R180:46705.129900,0.055547,46705.129951,46705.185500
R181:46705.265869,0.050152,46705.265926,46705.316080
[#WORKER#] 46705.382465 Still Alive!
R182:46705.561196,0.039455,46705.561260,46705.600717
R183:46705.607948,0.101792,46705.607995,46705.709791
R184:46705.825821,0.041286,46705.825864,46705.867152
R185:46706.524103,0.014627,46706.524165,46706.538794
R186:46706.903922,0.000542,46706.903977,46706.904522
R187:46706.992145,0.148893,46706.992198,46707.141096
R188:46707.247061,0.012179,46707.247128,46707.259309
[#WORKER#] 46707.383152 Still Alive!
R189:46707.305047,0.127656,46707.305075,46707.432733
R190:46707.639511,0.059621,46707.639615,46707.699240
R191:46707.648022,0.123069,46707.699350,46707.822420
R192:46708.365179,0.064225,46708.365262,46708.429492
R193:46708.404741,0.009863,46708.429611,46708.439474
R194:46708.738784,0.048272,46708.738849,46708.787123
R195:46708.756325,0.107037,46708.787180,46708.894218
R196:46708.816291,0.014122,46708.894289,46708.908412
R197:46709.092344,0.005490,46709.092435,46709.097927
R198:46709.101215,0.151808,46709.101251,46709.253060
R199:46709.203244,0.058440,46709.253135,46709.311576
[#WORKER#] 46709.384353 Still Alive!
R200:46709.399614,0.089071,46709.399673,46709.488747
R201:46709.420822,0.075481,46709.488820,46709.564301
R202:46709.564892,0.044929,46709.564926,46709.609856
R203:46709.715600,0.219574,46709.715654,46709.935230
R204:46709.776117,0.018611,46709.935305,46709.953917
R205:46709.884040,0.074601,46709.953947,46710.028553
R206:46710.040887,0.090683,46710.040922,46710.131606
R207:46710.201705,0.177083,46710.201736,46710.378822
R208:46710.246079,0.010407,46710.378858,46710.389265
R209:46710.258201,0.018591,46710.389285,46710.407876
R210:46710.687142,0.025553,46710.687221,46710.712777
R211:46710.796759,0.034366,46710.796786,46710.831152
R212:46711.088976,0.210601,46711.089019,46711.299622
[#WORKER#] 46711.385047 Still Alive!
R213:46711.162664,0.168691,46711.299689,46711.468384
R214:46711.233013,0.003700,46711.468447,46711.472148
R215:46711.412413,0.150624,46711.472170,46711.622794
R216:46711.462065,0.180852,46711.622824,46711.803676
R217:46711.626010,0.024976,46711.803705,46711.828682
R218:46711.687428,0.094789,46711.829999,46711.924788
R219:46711.724228,0.112272,46711.924812,46712.037084
R220:46711.743611,0.127105,46712.037107,46712.164212
R221:46711.997697,0.051281,46712.164253,46712.215534
R222:46712.034970,0.056918,46712.215559,46712.272477
R223:46712.098197,0.048735,46712.272499,46712.321235
R224:46712.141986,0.016809,46712.321252,46712.338061
R225:46712.268858,0.001469,46712.338078,46712.339547
R226:46712.403962,0.048154,46712.403986,46712.452141
R227:46712.483709,0.133715,46712.483745,46712.617462
R228:46712.544466,0.104885,46712.617531,46712.722417
R229:46712.594782,0.252063,46712.722478,46712.974545
R230:46712.728766,0.165960,46712.974637,46713.140598
R231:46712.921854,0.037389,46713.140668,46713.178058
R232:46713.121368,0.000602,46713.178085,46713.178688
[#WORKER#] 46713.385147 Still Alive!
