R0,43662.084880,0.041792,43662.085082,43662.126987
R1,43662.696478,0.133472,43662.696542,43662.830019
R2,43663.206008,0.018341,43663.206044,43663.224388
R3,43664.014896,0.121834,43664.014956,43664.136794
R4,43664.151060,0.067281,43664.151091,43664.218374
R5,43664.259576,0.082600,43664.259609,43664.342211
R6,43664.475922,0.060026,43664.475966,43664.535994
R7,43664.627224,0.206605,43664.627260,43664.833871
R8,43665.641082,0.105280,43665.641145,43665.746427
R9,43665.977777,0.077822,43665.977828,43666.055653
R10,43666.028888,0.023187,43666.055737,43666.078926
R11,43666.034408,0.135879,43666.079038,43666.214917
R12,43666.083642,0.042700,43666.214962,43666.257663
R13,43666.140482,0.009600,43666.257698,43666.267298
R14,43666.186860,0.020519,43666.267326,43666.287854
R15,43668.465360,0.152254,43668.465441,43668.617701
R16,43668.705229,0.029252,43668.705274,43668.734528
R17,43669.021431,0.061912,43669.021467,43669.083381
R18,43669.359771,0.300302,43669.359820,43669.660128
R19,43669.586656,0.122966,43669.660282,43669.783251
R20,43669.702075,0.122442,43669.783309,43669.905751
R21,43669.951501,0.185106,43669.951540,43670.136648
R22,43670.121964,0.036214,43670.136703,43670.172918
R23,43670.233046,0.209469,43670.233119,43670.442591
R24,43670.782743,0.248530,43670.782813,43671.031348
R25,43670.806914,0.007499,43671.031461,43671.038960
R26,43671.055792,0.090695,43671.055841,43671.146538
R27,43671.127016,0.035757,43671.146608,43671.182365
R28,43671.863575,0.001686,43671.863667,43671.865358
R29,43671.885761,0.005431,43671.885795,43671.891227
R30,43672.089809,0.293994,43672.089875,43672.383876
R31,43672.180661,0.158606,43672.384047,43672.542655
R32,43672.955727,0.064667,43672.955784,43673.020457
R33,43673.059224,0.119013,43673.059287,43673.178302
R34,43673.216073,0.091816,43673.216123,43673.307941
R35,43673.455652,0.003339,43673.455697,43673.459039
R36,43673.708552,0.223819,43673.708657,43673.932481
R37,43673.900538,0.106364,43673.932566,43674.038932
R38,43674.790940,0.111788,43674.791081,43674.902874
R39,43674.902573,0.036419,43674.902945,43674.939365
R40,43675.243197,0.015124,43675.243289,43675.258419
R41,43675.631394,0.176741,43675.631433,43675.808176
R42,43675.824770,0.033415,43675.824807,43675.858223
R43,43676.413947,0.186534,43676.414022,43676.600561
R44,43676.500716,0.096708,43676.600632,43676.697341
R45,43676.644557,0.074024,43676.697405,43676.771430
R46,43677.689402,0.163059,43677.689481,43677.852548
R47,43678.046466,0.214719,43678.046514,43678.261235
R48,43678.239535,0.140512,43678.261303,43678.401815
R49,43678.408980,0.201567,43678.409026,43678.610600
R50,43678.793301,0.020260,43678.793362,43678.813627
R51,43679.012950,0.210611,43679.012985,43679.223598
R52,43680.013337,0.177430,43680.013498,43680.190936
R53,43680.066717,0.047129,43680.191077,43680.238208
R54,43680.408311,0.027498,43680.408350,43680.435849
