R0,44981.047018,0.041792,44981.047217,44981.089105
R1,44981.214010,0.133472,44981.214071,44981.347547
R2,44981.353028,0.018341,44981.353074,44981.371416
R3,44981.573667,0.121834,44981.573718,44981.695554
R4,44981.610844,0.067281,44981.695750,44981.763031
R5,44981.640470,0.082600,44981.763089,44981.845691
R6,44981.699492,0.060026,44981.845729,44981.905756
R7,44981.740771,0.206605,44981.905805,44982.112412
R8,44982.017293,0.105280,44982.112462,44982.217743
R9,44982.109141,0.077822,44982.217784,44982.295607
R10,44982.123162,0.023187,44982.295643,44982.318830
R11,44982.124689,0.135879,44982.318886,44982.454766
R12,44982.138130,0.042700,44982.454814,44982.497515
R13,44982.153649,0.009600,44982.497556,44982.507156
R14,44982.166325,0.020519,44982.507192,44982.527713
R15,44982.787778,0.152254,44982.787814,44982.940073
R16,44982.853232,0.029252,44982.940135,44982.969387
R17,44982.939480,0.061912,44982.969432,44983.031345
R18,44983.031767,0.300302,44983.031792,44983.332095
R19,44983.093661,0.122966,44983.332182,44983.455153
R20,44983.125150,0.122442,44983.455238,44983.577680
R21,44983.193201,0.185106,44983.577721,44983.762831
R22,44983.239708,0.036214,44983.762899,44983.799114
R23,44983.270021,0.209469,44983.799154,44984.008627
R24,44983.419950,0.248530,44984.008686,44984.257220
R25,44983.426561,0.007499,44984.257290,44984.264789
R26,44983.494453,0.090695,44984.264817,44984.355513
R27,44983.513880,0.035757,44984.355547,44984.391304
R28,44983.714777,0.001686,44984.391338,44984.393024
R29,44983.720838,0.005431,44984.393055,44984.398486
R30,44983.776485,0.293994,44984.398511,44984.692505
R31,44983.801262,0.158606,44984.692548,44984.851159
R32,44984.012647,0.064667,44984.851229,44984.915898
R33,44984.040873,0.119013,44984.915945,44985.034962
R34,44984.083672,0.091816,44985.035033,44985.126849
R35,44984.149029,0.003339,44985.126893,44985.130233
R36,44984.218015,0.223819,44985.130260,44985.354084
R37,44984.270375,0.106364,44985.354150,44985.460520
R38,44984.513222,0.111788,44985.460594,44985.572383
R39,44984.543668,0.036419,44985.572450,44985.608870
R40,44984.636571,0.015124,44985.608922,44985.624046
R41,44984.742441,0.176741,44985.624072,44985.800814
R42,44984.795206,0.033415,44985.800876,44985.834292
R43,44984.955908,0.186534,44985.834368,44986.020903
R44,44984.979584,0.096708,44986.020943,44986.117655
R45,44985.018827,0.074024,44986.117738,44986.191765
R46,44985.303797,0.163059,44986.191838,44986.354898
R47,44985.401223,0.214719,44986.354978,44986.569734
R48,44985.453909,0.140512,44986.569796,44986.710309
R49,44985.500147,0.201567,44986.710387,44986.911956
R50,44985.604974,0.020260,44986.912053,44986.932314
R51,44985.664897,0.210611,44986.932361,44987.142973
R52,44985.937736,0.177430,44987.143077,44987.320508
R53,44985.952293,0.047129,44987.320576,44987.367706
R54,44986.045484,0.027498,44987.367751,44987.395250
R55,44986.133412,0.030616,44987.395283,44987.425899
R56,44986.273648,0.021360,44987.425930,44987.447291
R57,44986.327553,0.026941,44987.447317,44987.474258
R58,44986.346465,0.044893,44987.474286,44987.519179
R59,44986.420411,0.197754,44987.519210,44987.716964
R60,44986.437337,0.011230,44987.716996,44987.728227
R61,44986.447264,0.119092,44987.728255,44987.847347
R62,44986.509476,0.227786,44987.847375,44988.075164
R63,44986.889816,0.040266,44988.075251,44988.115518
R64,44986.994729,0.038326,44988.115574,44988.153903
R65,44987.120753,0.022026,44988.153992,44988.176019
R66,44987.152505,0.023355,44988.176092,44988.199448
R67,44987.232395,0.109777,44988.199510,44988.309292
R68,44987.247467,0.131443,44988.309447,44988.440892
R69,44987.259684,0.113898,44988.440979,44988.554879
R70,44987.276023,0.249818,44988.555020,44988.804839
R71,44987.283092,0.061436,44988.804907,44988.866344
R72,44987.288021,0.022877,44988.866392,44988.889270
R73,44987.305664,0.109934,44988.889419,44988.999355
R74,44987.451011,0.285300,44988.999398,44989.284699
R75,44987.548192,0.118834,44989.284733,44989.403568
