INFO: setting server port as: 2222
INFO: Waiting for incoming connection...
R0:19100.038017,0.041792,19100.038165,19100.080093
R1:19100.221622,0.133472,19100.221698,19100.355174
R2:19100.374539,0.018341,19100.374601,19100.392944
R3:19100.617283,0.121834,19100.617365,19100.739203
R4:19100.658210,0.067281,19100.739401,19100.806683
R5:19100.690831,0.082600,19100.806782,19100.889385
R6:19100.755799,0.060026,19100.889483,19100.949511
R7:19100.801263,0.206605,19100.949606,19101.156213
R8:19101.105497,0.105280,19101.156298,19101.261579
R9:19101.206561,0.077822,19101.261658,19101.339483
R10:19101.222031,0.023187,19101.339565,19101.362754
R11:19101.223721,0.135879,19101.362845,19101.498726
R12:19101.238516,0.042700,19101.498814,19101.541515
R13:19101.255613,0.009600,19101.541565,19101.551170
R14:19101.269577,0.020519,19101.551248,19101.571768
R15:19101.953192,0.152254,19101.953256,19102.105514
R16:19102.025233,0.029252,19102.105615,19102.134869
R17:19102.120150,0.061912,19102.134948,19102.196862
R18:19102.221717,0.300302,19102.221781,19102.522086
R19:19102.289856,0.122966,19102.522170,19102.645139
R20:19102.324543,0.122442,19102.645235,19102.767679
R21:19102.399438,0.185106,19102.767768,19102.952877
R22:19102.450633,0.036214,19102.952969,19102.989185
R23:19102.484045,0.209469,19102.989256,19103.198727
R24:19102.648994,0.248530,19103.198825,19103.447357
R25:19102.656290,0.007499,19103.447507,19103.455010
R26:19102.730999,0.090695,19103.455068,19103.545769
R27:19102.752423,0.035757,19103.545872,19103.581631
R28:19102.973412,0.001686,19103.581708,19103.583394
R29:19102.980103,0.005431,19103.583428,19103.588859
R30:19103.041352,0.293994,19103.588885,19103.882881
R31:19103.068641,0.158606,19103.882990,19104.041598
R32:19103.301217,0.064667,19104.041684,19104.106353
R33:19103.332324,0.119013,19104.106422,19104.225437
R34:19103.379438,0.091816,19104.225537,19104.317355
R35:19103.451350,0.003339,19104.317470,19104.320810
R36:19103.527257,0.223819,19104.320841,19104.544661
R37:19103.584866,0.106364,19104.544753,19104.651120
R38:19103.852050,0.111788,19104.651208,19104.762997
R39:19103.885564,0.036419,19104.763107,19104.799529
R40:19103.987794,0.015124,19104.799612,19104.814738
R41:19104.104317,0.176741,19104.814824,19104.991566
R42:19104.162382,0.033415,19104.991711,19105.025128
R43:19104.339181,0.186534,19105.025216,19105.211752
R44:19104.365268,0.096708,19105.211841,19105.308552
R45:19104.408479,0.074024,19105.308644,19105.382673
R46:19104.721999,0.163059,19105.382764,19105.545825
R47:19104.829176,0.214719,19105.545892,19105.760613
R48:19104.887170,0.140512,19105.760727,19105.901241
R49:19104.938067,0.201567,19105.901327,19106.102900
R50:19105.053416,0.020260,19106.102987,19106.123249
R51:19105.119365,0.210611,19106.123335,19106.333948
R52:19105.419514,0.177430,19106.334053,19106.511484
R53:19105.435562,0.047129,19106.511574,19106.558705
R54:19105.538100,0.027498,19106.558792,19106.586297
R55:19105.634865,0.030616,19106.586367,19106.616984
R56:19105.789120,0.021360,19106.617046,19106.638408
R57:19105.848447,0.026941,19106.638477,19106.665420
R58:19105.869291,0.044893,19106.665501,19106.710399
R59:19105.950662,0.197754,19106.710492,19106.908248
R60:19105.969318,0.011230,19106.908319,19106.919550
R61:19105.980276,0.119092,19106.919597,19107.038691
R62:19106.048746,0.227786,19107.038789,19107.266577
R63:19106.467147,0.040266,19107.266682,19107.306950
R64:19106.582562,0.038326,19107.307038,19107.345366
R65:19106.721172,0.022026,19107.345449,19107.367476
R66:19106.756086,0.023355,19107.367544,19107.390900
R67:19106.843979,0.109777,19107.390972,19107.500754
R68:19106.860605,0.131443,19107.500845,19107.632290
R69:19106.874082,0.113898,19107.632363,19107.746263
R70:19106.892072,0.249818,19107.746353,19107.996173
R71:19106.899899,0.061436,19107.996267,19108.057706
R72:19106.905339,0.022877,19108.057805,19108.080683
R73:19106.924784,0.109934,19108.080738,19108.190674
R74:19107.084706,0.285300,19108.190774,19108.476076
R75:19107.191666,0.118834,19108.476180,19108.595017
R76:19107.293761,0.012076,19108.595112,19108.607190
R77:19107.303651,0.006788,19108.607263,19108.614053
R78:19107.377136,0.019082,19108.614744,19108.633828
R79:19107.384446,0.142751,19108.633906,19108.776659
R80:19107.446395,0.117406,19108.776751,19108.894159
R81:19107.531636,0.014312,19108.894252,19108.908567
R82:19107.537050,0.019047,19108.908647,19108.927716
R83:19108.732581,0.011172,19108.927794,19108.938968
R84:19108.953347,0.004631,19108.953423,19108.958057
R85:19109.565327,0.006256,19109.565409,19109.571668
R86:19109.769874,0.213737,19109.769947,19109.983687
R87:19109.770357,0.016575,19109.983784,19110.000361
R88:19109.860519,0.041423,19110.000442,19110.041868
R89:19109.878388,0.142759,19110.041955,19110.184716
R90:19110.122699,0.067004,19110.184793,19110.251799
R91:19110.167276,0.050211,19110.251897,19110.302110
R92:19110.253949,0.008747,19110.302207,19110.310956
R93:19110.370303,0.117992,19110.370370,19110.488365
R94:19110.446067,0.404774,19110.488457,19110.893233
R95:19110.482422,0.175048,19110.893316,19111.068369
R96:19110.568527,0.082609,19111.068471,19111.151082
R97:19110.706380,0.114795,19111.151175,19111.265972
R98:19110.710052,0.216275,19111.266096,19111.482377
R99:19110.889230,0.148173,19111.482470,19111.630645
R100:19111.095929,0.113487,19111.630743,19111.744232
R101:19111.484389,0.342518,19111.744364,19112.086884
R102:19111.718133,0.057307,19112.086969,19112.144278
R103:19111.828145,0.147669,19112.144364,19112.292035
R104:19111.846129,0.006677,19112.292124,19112.298802
R105:19112.065993,0.023756,19112.298859,19112.322617
R106:19112.170994,0.021687,19112.322743,19112.344432
R107:19112.270380,0.031755,19112.344517,19112.376274
R108:19112.391077,0.021935,19112.391162,19112.413100
R109:19112.431050,0.083549,19112.431107,19112.514659
R110:19112.438796,0.087755,19112.514735,19112.602492
R111:19112.464142,0.296387,19112.602568,19112.898958
R112:19112.535675,0.065824,19112.899060,19112.964886
R113:19112.568614,0.010019,19112.964981,19112.975013
R114:19112.695725,0.074818,19112.975100,19113.049920
R115:19112.759559,0.049959,19113.049992,19113.099956
R116:19113.048438,0.156817,19113.100056,19113.256874
R117:19113.089498,0.000270,19113.256954,19113.257224
R118:19113.146560,0.076042,19113.257278,19113.333322
R119:19113.188932,0.022203,19113.333418,19113.355622
R120:19113.368118,0.054968,19113.368170,19113.423141
R121:19113.480744,0.030315,19113.480809,19113.511126
R122:19113.546596,0.016798,19113.546655,19113.563458
R123:19113.671191,0.003477,19113.671264,19113.674744
R124:19113.768517,0.099223,19113.768584,19113.867810
R125:19113.822027,0.084593,19113.867877,19113.952472
R126:19113.934163,0.017009,19113.952539,19113.969549
R127:19113.976864,0.082217,19113.976925,19114.059143
R128:19114.070866,0.033171,19114.070923,19114.104097
R129:19114.202162,0.018826,19114.202229,19114.221061
R130:19114.337132,0.096201,19114.337194,19114.433399
R131:19114.590940,0.024785,19114.591025,19114.615814
R132:19114.696923,0.007644,19114.696980,19114.704626
R133:19114.773045,0.174891,19114.773105,19114.948016
R134:19114.803309,0.008202,19114.948119,19114.956355
R135:19114.919264,0.037399,19114.956419,19114.993820
R136:19114.931126,0.074955,19114.993916,19115.068872
R137:19115.017164,0.028398,19115.068959,19115.097359
R138:19115.127065,0.028351,19115.127126,19115.155483
R139:19115.276664,0.017534,19115.276777,19115.294319
R140:19115.316759,0.000299,19115.316874,19115.317174
R141:19115.732674,0.033557,19115.732744,19115.766305
R142:19115.908432,0.047799,19115.908497,19115.956302
R143:19115.929359,0.209371,19115.956388,19116.165761
R144:19116.247967,0.100075,19116.248054,19116.348131
R145:19116.392840,0.096473,19116.392905,19116.489382
R146:19116.405837,0.124036,19116.489472,19116.613511
R147:19116.454337,0.206683,19116.613614,19116.820299
R148:19116.740984,0.018966,19116.820400,19116.839367
R149:19116.939076,0.066181,19116.939146,19117.005330
R150:19117.097019,0.196097,19117.097123,19117.293224
R151:19117.132430,0.172609,19117.293328,19117.465939
R152:19117.372948,0.071541,19117.466042,19117.537585
R153:19117.441976,0.026674,19117.537691,19117.564366
R154:19117.459841,0.056505,19117.564454,19117.620961
R155:19117.659855,0.157508,19117.659917,19117.817429
R156:19117.722233,0.028665,19117.818677,19117.847344
R157:19117.790825,0.096048,19117.847436,19117.943485
R158:19117.810798,0.012477,19117.943554,19117.956034
R159:19117.940904,0.056509,19117.956106,19118.012617
R160:19118.033394,0.107356,19118.033463,19118.140823
R161:19118.215589,0.020915,19118.215669,19118.236587
R162:19118.235303,0.010772,19118.236667,19118.247441
R163:19118.304424,0.037248,19118.304481,19118.341732
R164:19118.319368,0.223892,19118.341824,19118.565718
R165:19118.358687,0.081093,19118.565818,19118.646913
R166:19118.597861,0.142038,19118.647015,19118.789055
R167:19118.779236,0.033994,19118.789140,19118.823139
R168:19118.847857,0.089615,19118.847931,19118.937549
R169:19118.898102,0.024969,19118.937648,19118.962618
R170:19118.992057,0.006276,19118.992185,19118.998465
R171:19119.008530,0.086823,19119.008581,19119.095411
R172:19119.019999,0.028338,19119.095514,19119.123854
R173:19119.065235,0.007964,19119.123983,19119.131949
R174:19119.105541,0.227135,19119.132019,19119.359156
R175:19119.161357,0.025709,19119.359233,19119.384944
R176:19119.249047,0.119546,19119.385034,19119.504582
R177:19119.356637,0.014259,19119.504678,19119.518939
R178:19119.423555,0.081884,19119.519033,19119.600922
R179:19119.638220,0.019416,19119.638283,19119.657702
R180:19119.711248,0.046289,19119.711309,19119.757600
R181:19119.792889,0.041793,19119.792950,19119.834745
R182:19119.970130,0.032879,19119.970192,19120.003075
R183:19119.998241,0.084827,19120.003150,19120.087978
R184:19120.129019,0.034405,19120.129110,19120.163517
R185:19120.548064,0.012189,19120.548129,19120.560321
R186:19120.776026,0.000452,19120.776087,19120.776542
R187:19120.829017,0.124078,19120.829079,19120.953159
R188:19120.982029,0.010149,19120.982089,19120.992241
R189:19121.016915,0.106380,19121.016973,19121.123357
